"OSVersion","Article","Published","Title","Warn"
"2008","KB5034173","2024-01-09","January 9, 2024-KB5034173 (Monthly Rollup)","Yes"
"2008","KB4463104","2018-10-09","October 9, 2018-KB4463104 (Security-only update)"
"2008","KB4463097","2018-10-09","October 9, 2018-KB4463097 (Monthly Rollup)"
"2008","KB4458315","2018-09-20","September 20, 2018-KB4458315 (Preview of Monthly Rollup)"
"2008","KB4458010","2018-09-11","September 11, 2018-KB4458010 (Monthly Rollup)"
"2008","KB4457984","2018-09-11","September 11, 2018-KB4457984 (Security-only update)"

"2008R2","KB5034169","2024-01-09","January 9, 2024-KB5034169 (Monthly Rollup)","Yes"
"2008R2","KB5033433","2023-12-12","December 12, 2023-KB5033433 (Monthly Rollup)"
"2008R2","KB5032252","2023-11-14","November 14, 2023-KB5032252 (Monthly Rollup)"
"2008R2","KB5031408","2023-10-10","October 10, 2023-KB5031408 (Monthly Rollup)"
"2008R2","KB5030265","2023-09-12","September 12, 2023-KB5030265 (Monthly Rollup)"
"2008R2","KB5029296","2023-08-08","August 8, 2023-KB5029296 (Monthly Rollup)"
"2008R2","KB5029307","2023-08-08","August 8, 2023-KB5029307 (Security-only update)"
"2008R2","KB5028240","2023-07-11","July 11, 2023-KB5028240 (Monthly Rollup)"
"2008R2","KB5028224","2023-07-11","July 11, 2023-KB5028224 (Security-only update)"
"2008R2","KB5027275","2023-06-13","June 13, 2023-KB5027275 (Monthly Rollup)"
"2008R2","KB5027256","2023-06-13","June 13, 2023-KB5027256 (Security-only update)"
"2008R2","KB5026413","2023-05-09","May 9, 2023-KB5026413 (Monthly Rollup)"
"2008R2","KB5026426","2023-05-09","May 9, 2023-KB5026426 (Security-only update)"
"2008R2","KB5025279","2023-04-11","April 11, 2023-KB5025279 (Monthly Rollup)"
"2008R2","KB5025277","2023-04-11","April 11, 2023-KB5025277 (Security-only update)"
"2008R2","KB5023769","2023-03-14","March 14, 2023-KB5023769 (Monthly Rollup)"
"2008R2","KB5023759","2023-03-14","March 14, 2023-KB5023759 (Security-only update)"
"2008R2","KB5022872","2023-02-14","February 14, 2023-KB5022872 (Monthly Rollup)"
"2008R2","KB5022874","2023-02-14","February 14, 2023-KB5022874 (Security-only update)"
"2008R2","KB5022338","2023-01-10","January 10, 2023-KB5022338 (Monthly Rollup)"
"2008R2","KB5022339","2023-01-10","January 10, 2023-KB5022339 (Security-only update)"
"2008R2","KB5021291","2022-12-13","December 13, 2022-KB5021291 (Monthly Rollup)"
"2008R2","KB5021288","2022-12-13","December 13, 2022-KB5021288 (Security-only update)"
"2008R2","KB5021651","2022-11-18","2008R2","KB5021651: Out-of-band update for Windows Server 2008 R2: November 18, 2022"
"2008R2","KB5020000","2022-11-08","November 8, 2022-KB5020000 (Monthly Rollup)"
"2008R2","KB5020013","2022-11-08","November 8, 2022-KB5020013 (Security-only update)"
"2008R2","KB5018454","2022-10-11","October 11, 2022-KB5018454 (Monthly Rollup)"
"2008R2","KB5018479","2022-10-11","October 11, 2022-KB5018479 (Security-only update)"
"2008R2","KB5017361","2022-09-13","September 13, 2022-KB5017361 (Monthly Rollup)"
"2008R2","KB5017373","2022-09-13","September 13, 2022-KB5017373 (Security-only update)"
"2008R2","KB5016676","2022-08-09","August 9, 2022-KB5016676 (Monthly Rollup)"
"2008R2","KB5016679","2022-08-09","August 9, 2022-KB5016679 (Security-only update)"
"2008R2","KB5015861","2022-07-12","July 12, 2022-KB5015861 (Monthly Rollup)"
"2008R2","KB5015862","2022-07-12","July 12, 2022-KB5015862 (Security-only update)"
"2008R2","KB5014748","2022-06-14","June 14, 2022-KB5014748 (Monthly Rollup)"
"2008R2","KB5014742","2022-06-14","June 14, 2022-KB5014742 (Security-only update)"
"2008R2","KB5014987","2022-05-10","2008R2","KB5014987: Authentication failures occur after the May 10, 2022 update is installed on domain controllers running Windows Server 2008 R2 SP1"
"2008R2","KB5014012","2022-05-10","May 10, 2022-KB5014012 (Monthly Rollup)"
"2008R2","KB5013999","2022-05-10","May 10, 2022-KB5013999 (Security-only update)"
"2008R2","KB5012626","2022-04-12","April 12, 2022-KB5012626 (Monthly Rollup)"
"2008R2","KB5012649","2022-04-12","April 12, 2022-KB5012649 (Security-only update)"
"2008R2","KB5011552","2022-03-08","March 8, 2022-KB5011552 (Monthly Rollup)"
"2008R2","KB5011529","2022-03-08","March 8, 2022-KB5011529 (Security-only update)"
"2008R2","KB5010404","2022-02-08","February 8, 2022-KB5010404 (Monthly Rollup)"
"2008R2","KB5010422","2022-02-08","February 8, 2022-KB5010422 (Security-only update)"
"2008R2","KB5010798","2022-01-17","2008R2","KB5010798: Out-of-band update for Windows 7 SP1 and Server 2008 R2 SP1: January 17, 2022"
"2008R2","KB5009610","2022-01-11","January 11, 2022-KB5009610 (Monthly Rollup)"
"2008R2","KB5009621","2022-01-11","January 11, 2022-KB5009621 (Security-only update)"
"2008R2","KB5008244","2021-12-14","December 14, 2021-KB5008244 (Monthly Rollup)"
"2008R2","KB5008282","2021-12-14","December 14, 2021-KB5008282 (Security-only update)"
"2008R2","KB5007236","2021-11-09","November 9, 2021-KB5007236 (Monthly Rollup)"
"2008R2","KB5007233","2021-11-09","November 9, 2021-KB5007233 (Security-only update)"
"2008R2","KB5006743","2021-10-12","October 12, 2021-KB5006743 (Monthly Rollup)"
"2008R2","KB5006728","2021-10-12","October 12, 2021-KB5006728 (Security-only update)"
"2008R2","KB5005633","2021-09-14","September 14, 2021-KB5005633 (Monthly Rollup)"
"2008R2","KB5005615","2021-09-14","September 14, 2021-KB5005615 (Security-only update)"
"2008R2","KB5005088","2021-08-10","August 10, 2021-KB5005088 (Monthly Rollup)"
"2008R2","KB5005089","2021-08-10","August 10, 2021-KB5005089 (Security-only update)"
"2008R2","KB5004289","2021-07-13","July 13, 2021-KB5004289 (Monthly Rollup)"
"2008R2","KB5004307","2021-07-13","July 13, 2021-KB5004307 (Security-only update)"
"2008R2","KB5004953","2021-07-06","July 6, 2021-KB5004953 (Monthly Rollup) Out-of-band"
"2008R2","KB5004951","2021-07-06","July 6, 2021-KB5004951 (Security-only update) Out-of-band"
"2008R2","KB5003667","2021-06-08","June 8, 2021-KB5003667 (Monthly Rollup)"
"2008R2","KB5003694","2021-06-08","June 8, 2021-KB5003694 (Security-only update)"
"2008R2","KB5003233","2021-05-11","May 11, 2021-KB5003233 (Monthly Rollup)"
"2008R2","KB5003228","2021-05-11","May 11, 2021-KB5003228 (Security-only update)"
"2008R2","KB5001335","2021-04-13","April 13, 2021-KB5001335 (Monthly Rollup)"
"2008R2","KB5001392","2021-04-13","April 13, 2021-KB5001392 (Security-only update)"
"2008R2","KB5000841","2021-03-09","March 9, 2021-KB5000841 (Monthly Rollup)"
"2008R2","KB5000851","2021-03-09","March 9, 2021-KB5000851 (Security-only update)"
"2008R2","KB4601347","2021-02-09","February 9, 2021-KB4601347(Monthly Rollup)"
"2008R2","KB4601363","2021-02-09","February 9, 2021-KB4601363 (Security-only update)"
"2008R2","KB4598289","2021-01-12","January 12, 2021-KB4598289 (Security-only update)"
"2008R2","KB4598279","2021-01-12","January 12, 2021-KB4598279 (Monthly Rollup)"
"2008R2","KB4592503","2020-12-08","December 8, 2020-KB4592503 (Security-only update)"
"2008R2","KB4592471","2020-12-08","December 8, 2020-KB4592471 (Monthly Rollup)"
"2008R2","KB4586805","2020-11-10","November 10, 2020-KB4586805 (Security-only update)"
"2008R2","KB4586827","2020-11-10","November 10, 2020-KB4586827 (Monthly Rollup)"
"2008R2","KB4580345","2020-10-13","October 13, 2020-KB4580345 (Monthly Rollup)"
"2008R2","KB4580387","2020-10-13","October 13, 2020-KB4580387 (Security-only update)"
"2008R2","KB4577053","2020-09-08","September 8, 2020-KB4577053 (Security-only update)"
"2008R2","KB4577051","2020-09-08","September 8, 2020-KB4577051 (Monthly Rollup)"
"2008R2","KB4571719","2020-08-11","August 11, 2020-KB4571719 (Security-only update)"
"2008R2","KB4571729","2020-08-11","August 11, 2020-KB4571729 (Monthly Rollup)"
"2008R2","KB4565539","2020-07-14","July 14, 2020-KB4565539 (Security-only update)"
"2008R2","KB4565524","2020-07-14","July 14, 2020-KB4565524 (Monthly Rollup)"
"2008R2","KB4561669","2020-06-09","June 9, 2020-KB4561669 (Security-only update)"
"2008R2","KB4561643","2020-06-09","June 9, 2020-KB4561643 (Monthly Rollup)"
"2008R2","KB4556843","2020-05-12","May 12, 2020-KB4556843 (Security-only update)"
"2008R2","KB4556836","2020-05-12","May 12, 2020-KB4556836 (Monthly Rollup)"
"2008R2","KB4550964","2020-04-14","April 14, 2020-KB4550964 (Monthly Rollup)"
"2008R2","KB4550965","2020-04-14","April 14, 2020-KB4550965 (Security-only update)"
"2008R2","KB4540688","2020-03-10","March 10, 2020-KB4540688 (Monthly Rollup)"
"2008R2","KB4541500","2020-03-10","March 10, 2020-KB4541500 (Security-only update)"
"2008R2","KB4537820","2020-02-11","February 11, 2020-KB4537820 (Monthly Rollup)"
"2008R2","KB4537813","2020-02-11","February 11, 2020-KB4537813 (Security-only update)"
"2008R2","KB4539601","2020-01-31","January 31, 2020-KB4539601 (Preview of Monthly Rollup)"
"2008R2","KB4534314","2020-01-14","January 14, 2020-KB4534314 (Security-only update)"
"2008R2","KB4534310","2020-01-14","January 14, 2020-KB4534310 (Monthly Rollup)"
"2008R2","KB4530692","2019-12-10","December 10, 2019-KB4530692 (Security-only update)"
"2008R2","KB4530734","2019-12-10","December 10, 2019-KB4530734 (Monthly Rollup)"
"2008R2","KB4525251","2019-11-19","November 19, 2019-KB4525251 (Preview of Monthly Rollup)"
"2008R2","KB4525233","2019-11-12","November 12, 2019-KB4525233 (Security-only update)"
"2008R2","KB4525235","2019-11-12","November 12, 2019-KB4525235 (Monthly Rollup)"
"2008R2","KB4519972","2019-10-15","October 15, 2019-KB4519972 (Preview of Monthly Rollup)"
"2008R2","KB4520003","2019-10-08","October 8, 2019-KB4520003 (Security-only update)"
"2008R2","KB4519976","2019-10-08","October 8, 2019-KB4519976 (Monthly Rollup)"
"2008R2","KB4524157","2019-10-03","October 3, 2019-KB4524157 (Monthly Rollup)"
"2008R2","KB4516048","2019-09-24","September 24, 2019-KB4516048 (Preview of Monthly Rollup)"
"2008R2","KB4516033","2019-09-10","September 10, 2019-KB4516033 (Security-only update)"
"2008R2","KB4516065","2019-09-10","September 10, 2019-KB4516065 (Monthly Rollup)"
"2008R2","KB4512514","2019-08-17","August 17, 2019-KB4512514 (Preview of Monthly Rollup)"
"2008R2","KB4512506","2019-08-13","August 13, 2019-KB4512506 (Monthly Rollup)"
"2008R2","KB4512486","2019-08-13","August 13, 2019-KB4512486 (Security-only update)"
"2008R2","KB4507437","2019-07-16","July 16, 2019-KB4507437 (Preview of Monthly Rollup)"
"2008R2","KB4507456","2019-07-09","July 9, 2019-KB4507456 (Security-only update)"
"2008R2","KB4507449","2019-07-09","July 9, 2019-KB4507449 (Monthly Rollup)"
"2008R2","KB4503277","2019-06-20","June 20, 2019-KB4503277 (Preview of Monthly Rollup)"
"2008R2","KB4503269","2019-06-11","June 11, 2019-KB4503269 (Security-only update)"
"2008R2","KB4503292","2019-06-11","June 11, 2019-KB4503292 (Monthly Rollup)"
"2008R2","KB4499178","2019-05-23","May 23, 2019-KB4499178 (Preview of Monthly Rollup)"
"2008R2","KB4499175","2019-05-14","May 14, 2019-KB4499175 (Security-only update)"
"2008R2","KB4499164","2019-05-14","May 14, 2019-KB4499164 (Monthly Rollup)"
"2008R2","KB4493453","2019-04-25","April 25, 2019-KB4493453 (Preview of Monthly Rollup)"
"2008R2","KB4493472","2019-04-09","April 9, 2019-KB4493472 (Monthly Rollup)"
"2008R2","KB4493448","2019-04-09","April 9, 2019-KB4493448 (Security-only update)"
"2008R2","KB4489892","2019-03-19","March 19, 2019-KB4489892 (Preview of Monthly Rollup)"
"2008R2","KB4489878","2019-03-12","March 12, 2019-KB4489878 (Monthly Rollup)"
"2008R2","KB4489885","2019-03-12","March 12, 2019-KB4489885 (Security-only update)"
"2008R2","KB4486565","2019-02-19","February 19, 2019-KB4486565 (Preview of Monthly Rollup)"
"2008R2","KB4486564","2019-02-12","February 12, 2019-KB4486564 (Security-only update)"
"2008R2","KB4486563","2019-02-12","February 12, 2019-KB4486563 (Monthly Rollup)"
"2008R2","KB4480955","2019-01-17","January 17, 2019-KB4480955 (Preview of Monthly Rollup)"
"2008R2","KB4480960","2019-01-08","January 8, 2019-KB4480960 (Security-only update)"
"2008R2","KB4480970","2019-01-08","January 8, 2019-KB4480970 (Monthly Rollup)"
"2008R2","KB4471328","2018-12-11","December 11, 2018-KB4471328 (Security-only update)"
"2008R2","KB4471318","2018-12-11","December 11, 2018-KB4471318 (Monthly Rollup)"
"2008R2","KB4467108","2018-11-27","November 27, 2018-KB4467108 (Preview of Monthly Rollup)"
"2008R2","KB4467106","2018-11-13","November 13, 2018-KB4467106 (Security-only update)"
"2008R2","KB4467107","2018-11-13","November 13, 2018-KB4467107 (Monthly Rollup)"
"2008R2","KB4462927","2018-10-18","October 18, 2018-KB4462927 (Preview of Monthly Rollup)"
"2008R2","KB4462915","2018-10-09","October 9, 2018-KB4462915 (Security-only update)"
"2008R2","KB4462923","2018-10-09","October 9, 2018-KB4462923 (Monthly Rollup)"
"2008R2","KB4457139","2018-09-20","September 20, 2018-KB4457139 (Preview of Monthly Rollup)"
"2008R2","KB4457144","2018-09-11","September 11, 2018-KB4457144 (Monthly Rollup)"
"2008R2","KB4457145","2018-09-11","September 11, 2018-KB4457145 (Security-only update)"
"2008R2","KB4343894","2018-08-30","August 30, 2018-KB4343894 (Preview of Monthly Rollup)"
"2008R2","KB4343900","2018-08-14","August 14, 2018-KB4343900 (Monthly Rollup)"
"2008R2","KB4343899","2018-08-14","August 14, 2018-KB4343899 (Security-only update)"
"2008R2","KB4338821","2018-07-18","July 18, 2018-KB4338821 (Preview of Monthly Rollup)"
"2008R2","KB4338818","2018-07-10","July 10, 2018-KB4338818 (Monthly Rollup)"
"2008R2","KB4338823","2018-07-10","July 10, 2018-KB4338823 (Security-only update)"
"2008R2","KB4284842","2018-06-21","June 21, 2018-KB4284842 (Preview of Monthly Rollup)"
"2008R2","KB4284826","2018-06-12","June 12, 2018-KB4284826 (Monthly Rollup)"
"2008R2","KB4284867","2018-06-12","June 12, 2018-KB4284867 (Security-only update)"
"2008R2","KB4103713","2018-05-17","May 17, 2018-KB4103713 (Preview of Monthly Rollup)"
"2008R2","KB4103718","2018-05-08","May 8, 2018-KB4103718 (Monthly Rollup)"
"2008R2","KB4103712","2018-05-08","May 8, 2018-KB4103712 (Security-only update)"
"2008R2","KB4093113","2018-04-17","April 17, 2018-KB4093113 (Preview of Monthly Rollup)"
"2008R2","KB4093118","2018-04-10","April 10, 2018-KB4093118 (Monthly Rollup)"
"2008R2","KB4093108","2018-04-10","April 10, 2018-KB4093108 (Security-only update)"
"2008R2","KB4088881","2018-03-23","March 23, 2018-KB4088881 (Preview of Monthly Rollup)"
"2008R2","KB4088875","2018-03-13","March 13, 2018-KB4088875 (Monthly Rollup)"
"2008R2","KB4088878","2018-03-13","March 13, 2018-KB4088878 (Security-only update)"
"2008R2","KB4075211","2018-02-22","February 22, 2018-KB4075211 (Preview of Monthly Rollup)"
"2008R2","KB4074598","2018-02-13","February 13, 2018-KB4074598 (Monthly Rollup)"
"2008R2","KB4074587","2018-02-13","February 13, 2018-KB4074587 (Security-only update)"
"2008R2","KB4057400","2018-01-19","January 19, 2018-KB4057400 (Preview of Monthly Rollup)"
"2008R2","KB4056894","2018-01-04","January 4, 2018-KB4056894 (Monthly Rollup)"
"2008R2","KB4056897","2018-01-03","January 3, 2018-KB4056897 (Security-only update)"
"2008R2","KB4054518","2017-12-12","December 12, 2017-KB4054518 (Monthly Rollup)"
"2008R2","KB4054521","2017-12-12","December 12, 2017-KB4054521 (Security-only update)"
"2008R2","KB4051034","2017-11-27","November 27, 2017-KB4051034 (Preview of Monthly Rollup)"
